country_code,indicator,year,weeknum,last_year,country,continent,population,weekly_count,year_week,cumulative_count,source,rate_14_day,log_scale
BGD,deaths,2021,52,True,Bangladesh,Asia,164689383,17.0,2021-52,28062.0,Epidemic intelligence national data,0.0850085156976998,-1.0705375668118788
BGR,cases,2021,52,True,Bulgaria,Europe,6951482,14302.0,2021-52,748184.0,TESSy COVID-19,343.049151245734,2.5353563491550686
BGR,deaths,2021,52,True,Bulgaria,Europe,6951482,455.0,2021-52,30983.0,TESSy COVID-19,134.64754709859,2.1291984461897857
BHR,cases,2021,52,True,Bahrain,Asia,1701583,434.0,2021-52,283344.0,Epidemic intelligence national data,284.734861596525,2.4544406433749706
BHR,deaths,2021,52,True,Bahrain,Asia,1701583,0.0,2021-52,1395.0,Epidemic intelligence national data,0.587688052830805,-0.23085313801181365
BHS,cases,2021,52,True,Bahamas,America,393248,205.0,2021-52,23539.0,Epidemic intelligence national data,108.582878997477,2.0357613524802955
BHS,deaths,2021,52,True,Bahamas,America,393248,5.0,2021-52,713.0,Epidemic intelligence national data,0.0,-inf
BIH,cases,2021,52,True,Bosnia And Herzegovina,Europe,3280815,3230.0,2021-52,292313.0,Epidemic intelligence national data,218.848060619084,2.3401427023488948
BIH,deaths,2021,52,True,Bosnia And Herzegovina,Europe,3280815,189.0,2021-52,13464.0,Epidemic intelligence national data,84.1254383438262,1.9249273401718126
BLR,cases,2021,52,True,Belarus,Europe,9449321,9728.0,2021-52,701699.0,Epidemic intelligence national data,171.832452300012,2.2351051881556008
BLR,deaths,2021,52,True,Belarus,Europe,9449321,113.0,2021-52,5624.0,Epidemic intelligence national data,23.8112346908312,1.3767819155859902
BLZ,cases,2021,52,True,Belize,America,397621,189.0,2021-52,33457.0,Epidemic intelligence national data,543.985352886291,2.7355872062307207
BLZ,deaths,2021,52,True,Belize,America,397621,5.0,2021-52,605.0,Epidemic intelligence national data,35.2094079538053,1.546658722469868
BMU,cases,2021,52,True,Bermuda,America,62273,133.0,2021-52,6420.0,Epidemic intelligence national data,807.733688757568,2.9072681967062635
BMU,deaths,2021,52,True,Bermuda,America,62273,0.0,2021-52,110.0,Epidemic intelligence national data,64.2332953286336,1.8077602029782982
BOL,cases,2021,52,True,Bolivia,America,11673029,11639.0,2021-52,580690.0,Epidemic intelligence national data,136.579802894347,2.135386481629134
